id,title,year,length,votes,rating,genre
51,"'burbs, The",1989,101,7641,6.0,comedy
112,10 Things I Hate About You,1999,97,19095,6.7,comedy
156,12 Angry Men,1957,96,29278,8.7,drama
173,13 Going On 30,2004,98,7859,6.4,comedy
186,"13th Warrior, The",1999,102,14344,6.1,action
197,15 Minutes,2001,120,10866,6.1,drama
249,2 Days in the Valley,1996,104,5057,6.4,drama
282,2001: A Space Odyssey,1968,156,64982,8.3,other
287,2010,1984,116,7300,6.5,other
297,21 Grams,2003,124,21857,8.0,drama
326,25th Hour,2002,135,15788,7.8,drama
333,28 Days,2000,103,7465,6.0,drama
334,28 Days Later...,2002,113,24174,7.3,other
404,"39 Steps, The",1935,86,7931,8.0,drama
448,48 Hrs.,1982,96,8742,6.8,action
472,50 First Dates,2004,99,13497,6.8,comedy
480,"51st State, The",2001,92,6752,6.1,action
534,8 Mile,2002,110,17900,6.8,drama
537,8 femmes,2002,111,5503,7.1,comedy
762,About Schmidt,2002,125,23279,7.3,comedy
763,About a Boy,2002,101,18318,7.5,comedy
781,Abre los ojos,1997,117,8087,7.8,drama
802,Absolute Power,1997,121,7995,6.4,drama
821,"Abyss, The",1989,171,21987,7.4,action
855,Ace Ventura: Pet Detective,1994,86,20705,6.2,comedy
966,Adaptation.,2002,114,25140,7.9,comedy
968,Addams Family Values,1993,94,7756,6.1,comedy
969,"Addams Family, The",1991,99,11549,6.4,comedy
971,Addicted to Love,1997,100,5445,6.0,comedy
1054,Adventures in Babysitting,1987,102,5363,6.3,comedy
1058,"Adventures of Baron Munchausen, The",1988,125,7927,6.8,comedy
1062,"Adventures of Buckaroo Banzai Across the 8th Dimension, The",1984,103,5036,6.1,comedy
1093,"Adventures of Priscilla, Queen of the Desert, The",1994,104,7721,7.2,comedy
1098,"Adventures of Robin Hood, The",1938,102,7359,8.2,action
1192,"African Queen, The",1951,105,13765,8.1,comedy
1220,After Hours,1985,96,5630,7.4,comedy
1274,"Age of Innocence, The",1993,139,6049,7.1,drama
1389,Air Force One,1997,124,26156,6.3,action
1409,Airplane!,1980,88,23369,7.8,comedy
1455,Akira,1988,124,14840,7.7,action
1491,Aladdin,1992,90,22499,7.6,animation
1586,Ali,2001,165,9294,6.4,drama
1652,Alien,1979,116,63400,8.3,other
1677,Alien: Resurrection,1997,116,24358,6.0,action
1679,Aliens,1986,154,63961,8.3,action
1693,Alive,1993,127,5786,6.7,action
1702,All About Eve,1950,138,13038,8.5,drama
1748,All Quiet on the Western Front,1930,147,6835,8.2,action
1784,All the President's Men,1976,138,12724,8.0,drama
1884,Almost Famous,2000,162,38648,8.0,comedy
1912,Along Came a Spider,2001,104,9456,6.1,drama
1986,Amadeus,1984,180,36955,8.3,drama
2106,American Beauty,1999,121,109991,8.5,drama
2144,American Graffiti,1973,110,12758,7.6,comedy
2149,American History X,1998,119,59677,8.4,drama
2178,American Pie,1999,95,41126,6.8,comedy
2179,American Pie 2,2001,105,22752,6.3,comedy
2181,"American President, The",1995,114,11834,6.9,comedy
2182,American Psycho,2000,102,21639,6.8,drama
2192,American Splendor,2003,101,8530,7.8,comedy
2208,American Wedding,2003,103,13590,6.3,comedy
2209,"American Werewolf in London, An",1981,92,8347,7.2,comedy
2252,Amistad,1997,152,10543,7.0,drama
2321,Amores perros,2000,153,15079,8.2,drama
2391,Analyze This,1999,109,24521,6.6,comedy
2429,Anchorman: The Legend of Ron Burgundy,2004,104,11553,6.5,comedy
2520,Angel Heart,1987,113,8335,7.1,other
2593,Anger Management,2003,106,14280,6.0,comedy
2628,Animal House,1978,109,17609,7.5,comedy
2702,Anna and the King,1999,148,6739,6.6,drama
2728,Annie Hall,1977,93,21462,8.3,comedy
2817,Antitrust,2001,108,7326,6.0,drama
2838,Antz,1998,83,16312,7.0,animation
2845,Any Given Sunday,1999,156,19531,6.4,drama
2905,"Apartment, The",1960,125,11214,8.4,comedy
2924,Apocalypse Now,1979,202,64785,8.5,action
2927,Apollo 13,1995,140,41098,7.5,drama
2988,Apt Pupil,1998,112,6728,6.4,drama
3012,Arachnophobia,1990,103,8608,6.1,comedy
3124,Arlington Road,1999,117,17189,7.1,drama
3151,Army of Darkness,1993,96,22118,7.4,action
3231,Artificial Intelligence: AI,2001,146,36623,6.8,drama
3257,As Good as It Gets,1997,139,47441,7.7,comedy
3466,Atlantis: The Lost Empire,2001,95,6323,6.4,action
3613,Austin Powers in Goldmember,2002,94,22870,6.2,action
3614,Austin Powers: International Man of Mystery,1997,94,33755,7.0,action
3615,Austin Powers: The Spy Who Shagged Me,1999,95,37019,6.5,action
3727,"Aviator, The",2004,170,16217,7.5,drama
3751,Awakenings,1990,121,11835,7.4,drama
3795,BASEketball,1998,103,7096,6.1,comedy
3832,Babe,1995,89,16988,7.4,comedy
3979,Back to the Future,1985,111,68647,8.1,action
3980,Back to the Future Part II,1989,108,28547,7.0,comedy
3981,Back to the Future Part III,1990,118,24682,6.7,comedy
3989,Backdraft,1991,132,12637,6.6,action
4027,Bad Boys,1995,118,15326,6.4,action
4028,Bad Boys II,2003,145,13087,6.1,action
4077,Bad Santa,2003,98,11189,7.2,comedy
